Time,Longitude,Latitude,T,S,AnRho,Region,color
2023-04-30 13:03:18,4.99836651194045,41.3979322496379,16.4130001068115,38.51089763702558,28.2124,A,lightblue
2023-04-30 13:03:24,4.99835937852946,41.3977646944256,16.4130001068115,38.51180219095535,28.2131,A,lightblue
2023-04-30 13:03:30,4.99835723532956,41.3975872141744,16.4120006561279,38.51190182857753,28.2135,A,lightblue
2023-04-30 13:03:36,4.99835107008818,41.397411826061,16.4150009155273,38.51330849388352,28.2138,A,lightblue
2023-04-30 13:03:42,4.99834494458236,41.3972415692008,16.4190006256104,38.51361127860395,28.2132,A,lightblue
2023-04-30 13:03:48,4.99834117834802,41.3970669508367,16.423999786377,38.51400988496123,28.2123,A,lightblue
2023-04-30 13:03:54,4.99833697872817,41.3968948524419,16.4290008544922,38.51421301280787,28.2113,A,lightblue
2023-04-30 13:04:00,4.99833416796273,41.3967216961922,16.4330005645752,38.5135077378341,28.2096,A,lightblue
2023-04-30 13:04:06,4.99832789100582,41.3965511911424,16.4370002746582,38.51361121071637,28.2087,A,lightblue
2023-04-30 13:04:12,4.99832284558568,41.3963771639441,16.4370002746582,38.51300559244272,28.2083,A,lightblue
2023-04-30 13:04:18,4.99831851425576,41.3962005158039,16.431999206543,38.51350768765259,28.2099,A,lightblue
2023-04-30 13:04:24,4.99830769204246,41.3960344145901,16.4260005950928,38.513005561308894,28.211,A,lightblue
2023-04-30 13:04:30,4.99830312154863,41.395861748742,16.423999786377,38.51180200739466,28.2107,A,lightblue
2023-04-30 13:04:36,4.99829961252811,41.3956910113637,16.4300003051758,38.51129987774195,28.2087,A,lightblue
2023-04-30 13:04:42,4.99829127164333,41.3955287886291,16.431999206543,38.51170232011354,28.2086,A,lightblue
2023-04-30 13:04:48,4.99828919251766,41.3953598335397,16.4290008544922,38.51089738938088,28.2087,A,lightblue
2023-04-30 13:04:54,4.99828255101944,41.3951967787575,16.4190006256104,38.51250336806043,28.2122,A,lightblue
2023-04-30 13:05:00,4.99827898237349,41.3950384428386,16.4179992675781,38.51139947124308,28.2118,A,lightblue
2023-04-30 13:05:06,4.99828396661457,41.3948714910285,16.4150009155273,38.512503332442776,28.2132,A,lightblue
2023-04-30 13:05:12,4.99828056191412,41.3947144816397,16.4179992675781,38.512503316821736,28.2126,A,lightblue
2023-04-30 13:05:18,4.99828144764974,41.3945596106901,16.4230003356934,38.512100843126206,28.2109,A,lightblue
2023-04-30 13:05:24,4.99828609307941,41.3944016898184,16.4230003356934,38.51139939985579,28.2105,A,lightblue
2023-04-30 13:05:30,4.99828188781765,41.3942464138073,16.4220008850098,38.51260292177735,28.2116,A,lightblue
2023-04-30 13:05:36,4.99827761985473,41.3940910001542,16.4209995269775,38.512204282924685,28.2116,A,lightblue
2023-04-30 13:05:42,4.99827232458978,41.3939346646831,16.4169998168945,38.51170215551327,28.2122,A,lightblue
2023-04-30 13:05:48,4.99825970116614,41.3937832570768,16.4139995574951,38.512100767773816,28.2131,A,lightblue
2023-04-30 13:05:54,4.99824867820883,41.3936268962443,16.4160003662109,38.51109652997157,28.212,A,lightblue
2023-04-30 13:06:00,4.99823666749631,41.3934697533977,16.4230003356934,38.51069406098798,28.2098,A,lightblue
2023-04-30 13:06:06,4.9982150715917,41.3933217791811,16.4230003356934,38.51159862257564,28.2106,A,lightblue
2023-04-30 13:06:12,4.99819978926177,41.3931688032987,16.4230003356934,38.511096499364704,28.2103,A,lightblue
2023-04-30 13:06:18,4.99818392828633,41.3930125467311,16.423999786377,38.511399289332815,28.2104,A,lightblue
2023-04-30 13:06:24,4.99816189195609,41.3928647279323,16.42799949646,38.51240350703912,28.21,A,lightblue
2023-04-30 13:06:30,4.99814702985996,41.3927137945908,16.4249992370605,38.512204184608336,28.2107,A,lightblue
2023-04-30 13:06:36,4.99813061491289,41.3925586978935,16.4169998168945,38.51180171753772,28.2123,A,lightblue
2023-04-30 13:06:42,4.99810890180516,41.3924105115535,16.4139995574951,38.51079748472628,28.2122,A,lightblue
2023-04-30 13:06:48,4.99809244407381,41.3922597423672,16.4120006561279,38.511299587381885,28.2131,A,lightblue
2023-04-30 13:06:54,4.99807479084187,41.3921084133777,16.4139995574951,38.51089712119372,28.2123,A,lightblue
2023-04-30 13:07:00,4.99805602899596,41.3919585278708,16.4179992675781,38.51049465558727,28.2111,A,lightblue
2023-04-30 13:07:06,4.99803956705601,41.3918111401858,16.4139995574951,38.5111960704756,28.2126,A,lightblue
2023-04-30 13:07:12,4.99802731562935,41.3916622055942,16.4099998474121,38.51190131649948,28.2139,A,lightblue
2023-04-30 13:07:18,4.99801798105272,41.3915106054751,16.4120006561279,38.5122041044607,28.2137,A,lightblue
2023-04-30 13:07:24,4.99800375531367,41.391364935463,16.4069995880127,38.511399180911965,28.2143,A,lightblue
2023-04-30 13:07:30,4.99799828118221,41.3912132496136,16.4109992980957,38.51119602187294,28.2131,A,lightblue
2023-04-30 13:07:36,4.99799601439438,41.3910601640432,16.4179992675781,38.51139915102502,28.2117,A,lightblue
2023-04-30 13:07:42,4.9979898,41.3909140115977,16.4220008850098,38.51119599286718,28.2105,A,lightblue
2023-04-30 13:07:48,4.99798861332291,41.3907634693592,16.4249992370605,38.510897009291774,28.2096,A,lightblue
2023-04-30 13:07:54,4.99798805759452,41.3906129265316,16.4290008544922,38.51069384848676,28.2086,A,lightblue
2023-04-30 13:08:00,4.9979887440469,41.3904631483014,16.4309997558594,38.51099663279373,28.2083,A,lightblue
2023-04-30 13:08:06,4.99798681556919,41.3903125616688,16.4300003051758,38.51019170399256,28.2079,A,lightblue
2023-04-30 13:08:12,4.99798848650396,41.3901641558509,16.4230003356934,38.50999237548354,28.2093,A,lightblue
2023-04-30 13:08:18,4.99798951235536,41.3900161660321,16.4080009460449,38.51099658430432,28.2138,A,lightblue
2023-04-30 13:08:24,4.99798221353037,41.3898661091784,16.3959999084473,38.50989268982571,28.2157,A,lightblue
2023-04-30 13:08:30,4.99797381372908,41.38972006074,16.3920001983643,38.50878496328256,28.2159,A,lightblue
2023-04-30 13:08:36,4.99796281143144,41.3895700900783,16.3880004882812,38.50888844019367,28.2168,A,lightblue
2023-04-30 13:08:42,4.99794743884636,41.3894184122061,16.3840007781982,38.509789166062745,28.2186,A,lightblue
2023-04-30 13:08:48,4.99793091200935,41.3892718515745,16.3810005187988,38.5098926454636,28.2194,A,lightblue
2023-04-30 13:08:54,4.99791331120676,41.3891252672406,16.3880004882812,38.509992292354,28.2178,A,lightblue
2023-04-30 13:09:00,4.99789612679317,41.3889753163317,16.4009990692139,38.51119581982312,28.2156,A,lightblue
2023-04-30 13:09:06,4.99787534853135,41.3888273009686,16.4120006561279,38.51190106921725,28.2135,A,lightblue
2023-04-30 13:09:12,4.99785489963608,41.3886810874499,16.4179992675781,38.51170174944301,28.2118,A,lightblue
2023-04-30 13:09:18,4.9978352191296,41.388534503735,16.4150009155273,38.51210036493005,28.2129,A,lightblue
2023-04-30 13:09:24,4.99781315095083,41.3883868920713,16.4029998779297,38.51129927711037,28.2152,A,lightblue
2023-04-30 13:09:30,4.99779244407381,41.3882371868288,16.3899993896484,38.51069366748708,28.2177,A,lightblue
2023-04-30 13:09:36,4.99777172631906,41.3880916647579,16.375,38.50999223530708,28.2208,A,lightblue
2023-04-30 13:09:42,4.99775051119758,41.3879460827032,16.363000869751,38.508382401156624,28.2225,A,lightblue
2023-04-30 13:09:48,4.99773072183157,41.3877982524082,16.3509998321533,38.50737816765337,28.2245,A,lightblue
2023-04-30 13:09:54,4.9977141000254,41.3876493607962,16.3509998321533,38.50748164683946,28.2246,A,lightblue
2023-04-30 13:10:00,4.99769650318812,41.3875022487195,16.3530006408691,38.50818306218736,28.2247,A,lightblue
2023-04-30 13:10:06,4.99768354893746,41.3873555449996,16.3610000610352,38.50928693244609,28.2236,A,lightblue
2023-04-30 13:10:12,4.99767835147745,41.3872013303266,16.3729991912842,38.50958971853356,28.2211,A,lightblue
2023-04-30 13:10:18,4.99767145564192,41.3870537669122,16.3740005493164,38.510896731156336,28.2217,A,lightblue
2023-04-30 13:10:24,4.99766612215288,41.3869080978936,16.3680000305176,38.51129917414919,28.2235,A,lightblue
2023-04-30 13:10:30,4.99766744710583,41.3867548418607,16.3610000610352,38.51119566826252,28.225,A,lightblue
2023-04-30 13:10:36,4.99766620356053,41.3866061637888,16.3640003204346,38.5109963408445,28.2243,A,lightblue
2023-04-30 13:10:42,4.99766509665617,41.3864622969712,16.363000869751,38.50939033207891,28.2232,A,lightblue
2023-04-30 13:10:48,4.99766917809744,41.386312796703,16.3589992523193,38.508485745160506,28.2234,A,lightblue
2023-04-30 13:10:54,4.99766753068929,41.3861636199577,16.3570003509521,38.507581160478665,28.2233,A,lightblue
2023-04-30 13:11:00,4.99766319217228,41.3860194654828,16.3560009002686,38.50667657737266,28.2228,A,lightblue
2023-04-30 13:11:06,4.99766096938062,41.3858700263462,16.3490009307861,38.50657690618313,28.2245,A,lightblue
2023-04-30 13:11:12,4.99765579256109,41.3857201346647,16.3460006713867,38.50788008497033,28.2262,A,lightblue
2023-04-30 13:11:18,4.99764627949682,41.3855768018778,16.3360004425049,38.5075811053751,28.2284,A,lightblue
2023-04-30 13:11:24,4.99763666474833,41.3854264114544,16.3209991455078,38.507078980273576,28.2315,A,lightblue
2023-04-30 13:11:30,4.99762415799214,41.3852771630047,16.3190002441406,38.50758108156768,28.2324,A,lightblue
2023-04-30 13:11:36,4.99760982013033,41.3851311247804,16.3190002441406,38.50858529649142,28.2331,A,lightblue
2023-04-30 13:11:42,4.9975960151795,41.3849857395815,16.3239994049072,38.50818282947132,28.2315,A,lightblue
2023-04-30 13:11:48,4.99757923221036,41.384838181893,16.3269996643066,38.508485620725615,28.231,A,lightblue
2023-04-30 13:11:54,4.99755985438047,41.3846911737857,16.3250007629395,38.50978880527581,28.2324,A,lightblue
2023-04-30 13:12:00,4.99754108159455,41.3845482536421,16.3099994659424,38.50908737263388,28.2356,A,lightblue
2023-04-30 13:12:06,4.99752486534521,41.384402027867,16.2959995269775,38.50838210573343,28.2384,A,lightblue
2023-04-30 13:12:12,4.99750482110769,41.3842564726721,16.2849998474121,38.50858524252413,28.2412,A,lightblue
2023-04-30 13:12:18,4.99749037656821,41.384112251063,16.2800006866455,38.507680663295886,28.2417,A,lightblue
2023-04-30 13:12:24,4.99747842128993,41.3839672330459,16.2800006866455,38.50667642709412,28.2409,A,lightblue
2023-04-30 13:12:30,4.99746154624198,41.3838237157396,16.2800006866455,38.50556870409218,28.2399,A,lightblue
2023-04-30 13:12:36,4.99744711819543,41.383678724427,16.2759990692139,38.5065767520818,28.2418,A,lightblue
2023-04-30 13:12:42,4.99743491570825,41.3835351266632,16.2689990997314,38.50707885386657,28.2437,A,lightblue
2023-04-30 13:12:48,4.99742456277901,41.3833879399247,16.2730007171631,38.50707884197462,28.2427,A,lightblue
